userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
40_NY_30,40_NY_30!,NY,Commack High School,Commack,NY,4.0,2025,Physics,Philosophy,620.0,630.0,28,27,28,29,28,730.0,730.0,710.0,710.0,720.0,710.0,710.0,730.0,730.0,7
40_NY_31,40_NY_31!,NY,Commack High School,Commack,NY,3.8,2024,Physics,Psychology,620.0,620.0,29,27,29,28,28,710.0,720.0,720.0,720.0,730.0,710.0,720.0,730.0,730.0,6
40_NY_32,40_NY_32!,NY,Commack High School,Commack,NY,3.9,2025,Physics,Philosophy,610.0,630.0,28,28,29,27,28,710.0,720.0,720.0,720.0,720.0,710.0,730.0,730.0,730.0,5
40_NY_33,40_NY_33!,NY,Commack High School,Commack,NY,4.0,2024,Physics,English,630.0,620.0,28,29,27,27,28,730.0,720.0,720.0,720.0,730.0,730.0,710.0,710.0,710.0,6
40_NY_34,40_NY_34!,NY,Commack High School,Commack,NY,4.0,2024,Physics,English,610.0,620.0,28,28,27,29,28,730.0,730.0,720.0,710.0,710.0,730.0,720.0,720.0,710.0,7
40_NY_35,40_NY_35!,NY,Commack High School,Commack,NY,3.9,2025,Physics,English,610.0,620.0,29,29,27,29,28,720.0,710.0,710.0,710.0,720.0,730.0,720.0,730.0,710.0,5
40_NY_36,40_NY_36!,NY,Commack High School,Commack,NY,4.0,2024,Physics,Psychology,610.0,630.0,27,28,28,29,28,710.0,710.0,730.0,720.0,720.0,710.0,720.0,720.0,710.0,7
40_NY_37,40_NY_37!,NY,Commack High School,Commack,NY,3.9,2024,Physics,Philosophy,620.0,610.0,29,29,29,28,29,720.0,730.0,730.0,710.0,710.0,710.0,710.0,720.0,730.0,6
40_NY_38,40_NY_38!,NY,Commack High School,Commack,NY,3.8,2024,Physics,History,620.0,630.0,27,27,28,28,28,720.0,730.0,710.0,710.0,720.0,720.0,710.0,730.0,730.0,7
40_NY_39,40_NY_39!,NY,Commack High School,Commack,NY,3.8,2024,Physics,Psychology,610.0,610.0,28,29,27,27,28,730.0,730.0,720.0,710.0,710.0,730.0,720.0,720.0,730.0,5
40_IL_40,40_IL_40!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,Philosophy,610.0,620.0,29,27,28,27,28,730.0,720.0,720.0,710.0,730.0,710.0,720.0,710.0,730.0,7
40_IL_41,40_IL_41!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,English,610.0,610.0,29,27,28,29,28,730.0,710.0,730.0,730.0,730.0,720.0,710.0,720.0,710.0,7
40_IL_42,40_IL_42!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,Philosophy,620.0,610.0,29,27,28,29,28,730.0,710.0,730.0,730.0,720.0,720.0,730.0,720.0,710.0,7
40_IL_43,40_IL_43!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,History,630.0,610.0,29,28,28,28,28,730.0,730.0,720.0,720.0,710.0,720.0,720.0,710.0,710.0,5
40_IL_44,40_IL_44!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2024,Physics,English,630.0,620.0,29,27,28,28,28,710.0,710.0,710.0,720.0,710.0,720.0,710.0,720.0,710.0,6
40_IL_45,40_IL_45!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,History,610.0,630.0,28,28,28,27,28,720.0,720.0,710.0,710.0,720.0,720.0,730.0,710.0,720.0,5
40_IL_46,40_IL_46!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2025,Physics,Psychology,620.0,610.0,27,27,28,28,28,730.0,730.0,730.0,730.0,730.0,730.0,720.0,710.0,720.0,6
40_IL_47,40_IL_47!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2024,Physics,Psychology,620.0,620.0,29,27,28,27,28,710.0,720.0,730.0,730.0,730.0,710.0,720.0,730.0,730.0,7
40_IL_48,40_IL_48!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.8,2024,Physics,History,630.0,630.0,29,28,29,27,28,710.0,710.0,720.0,720.0,730.0,710.0,710.0,730.0,730.0,6
40_IL_49,40_IL_49!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,Psychology,630.0,620.0,29,27,27,27,28,710.0,710.0,720.0,730.0,710.0,720.0,730.0,730.0,730.0,6
40_IL_50,40_IL_50!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.8,2024,Physics,Psychology,630.0,630.0,27,29,27,28,28,730.0,720.0,730.0,710.0,720.0,730.0,730.0,710.0,710.0,6
40_IL_51,40_IL_51!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2024,Physics,English,630.0,630.0,28,27,27,29,28,730.0,720.0,710.0,710.0,710.0,720.0,710.0,720.0,720.0,6
40_IL_52,40_IL_52!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,History,620.0,630.0,28,29,28,28,28,710.0,710.0,730.0,730.0,710.0,730.0,730.0,720.0,720.0,6
40_IL_53,40_IL_53!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,Psychology,620.0,630.0,28,29,29,29,29,720.0,710.0,720.0,720.0,710.0,730.0,710.0,720.0,720.0,6
40_IL_54,40_IL_54!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.8,2024,Physics,History,610.0,630.0,27,27,27,28,27,730.0,710.0,720.0,710.0,730.0,730.0,730.0,710.0,710.0,5
40_IL_55,40_IL_55!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,English,610.0,620.0,29,28,27,27,28,720.0,730.0,730.0,720.0,730.0,710.0,730.0,710.0,710.0,6
40_IL_56,40_IL_56!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,History,630.0,630.0,27,29,29,29,28,720.0,710.0,710.0,730.0,710.0,730.0,710.0,710.0,730.0,5
40_IL_57,40_IL_57!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,English,630.0,610.0,28,29,29,28,28,730.0,710.0,720.0,710.0,730.0,720.0,720.0,730.0,720.0,7
40_IL_58,40_IL_58!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,Psychology,610.0,620.0,29,28,28,28,28,720.0,710.0,730.0,730.0,720.0,730.0,730.0,710.0,720.0,5
40_IL_59,40_IL_59!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,English,630.0,610.0,29,27,29,29,28,710.0,710.0,710.0,730.0,720.0,710.0,730.0,710.0,710.0,7
40_IL_60,40_IL_60!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2025,Physics,English,620.0,610.0,28,29,29,29,29,710.0,730.0,720.0,730.0,730.0,710.0,710.0,720.0,720.0,5
40_IL_61,40_IL_61!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.8,2025,Physics,English,610.0,620.0,27,29,27,27,28,710.0,730.0,720.0,730.0,710.0,720.0,720.0,730.0,730.0,6
40_IL_62,40_IL_62!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,Psychology,630.0,610.0,27,27,29,29,28,720.0,730.0,710.0,720.0,730.0,730.0,720.0,730.0,720.0,6
40_IL_63,40_IL_63!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,History,630.0,630.0,27,28,29,29,28,710.0,720.0,730.0,720.0,720.0,720.0,710.0,710.0,730.0,5
40_IL_64,40_IL_64!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,History,610.0,620.0,27,27,29,29,28,730.0,720.0,720.0,720.0,720.0,710.0,720.0,710.0,710.0,5
40_IL_65,40_IL_65!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,Philosophy,620.0,620.0,28,29,28,27,28,710.0,720.0,730.0,710.0,730.0,730.0,730.0,710.0,720.0,7
40_IL_66,40_IL_66!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,English,610.0,610.0,29,29,29,29,29,730.0,710.0,730.0,720.0,710.0,730.0,710.0,720.0,720.0,5
40_IL_67,40_IL_67!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,Psychology,620.0,620.0,27,29,29,29,28,720.0,730.0,710.0,730.0,720.0,710.0,730.0,730.0,720.0,7
40_IL_68,40_IL_68!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.8,2025,Physics,Philosophy,630.0,630.0,28,29,28,28,28,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,710.0,7
40_IL_69,40_IL_69!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2025,Physics,History,630.0,630.0,27,28,29,29,28,710.0,720.0,720.0,730.0,720.0,710.0,720.0,720.0,720.0,7
40_IL_70,40_IL_70!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2024,Physics,Philosophy,630.0,620.0,28,29,29,29,29,730.0,730.0,710.0,730.0,720.0,710.0,730.0,720.0,730.0,5
40_IL_71,40_IL_71!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2024,Physics,Philosophy,620.0,610.0,27,29,27,29,28,710.0,730.0,720.0,710.0,720.0,720.0,720.0,730.0,730.0,6
40_IL_72,40_IL_72!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.8,2024,Physics,Philosophy,620.0,630.0,29,29,28,27,28,720.0,720.0,730.0,720.0,730.0,710.0,720.0,720.0,730.0,6
40_IL_73,40_IL_73!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,Psychology,620.0,610.0,27,27,28,28,28,730.0,720.0,710.0,720.0,720.0,710.0,730.0,710.0,710.0,5
40_IL_74,40_IL_74!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2025,Physics,Psychology,620.0,630.0,29,27,28,27,28,710.0,720.0,720.0,720.0,730.0,730.0,730.0,720.0,730.0,5
40_IL_75,40_IL_75!,IL,Crystal Lake Central High School,Crystal Lake,IL,4.0,2025,Physics,Psychology,610.0,630.0,27,29,27,28,28,730.0,730.0,710.0,730.0,720.0,710.0,720.0,730.0,710.0,7
40_IL_76,40_IL_76!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2024,Physics,English,630.0,610.0,28,28,28,28,28,720.0,710.0,710.0,710.0,720.0,720.0,710.0,730.0,730.0,7
40_IL_77,40_IL_77!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2024,Physics,Philosophy,610.0,610.0,29,27,28,29,28,710.0,720.0,720.0,720.0,710.0,710.0,720.0,720.0,730.0,6
40_IL_78,40_IL_78!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.8,2025,Physics,English,620.0,610.0,29,28,29,27,28,710.0,730.0,730.0,720.0,710.0,730.0,720.0,720.0,710.0,6
40_IL_79,40_IL_79!,IL,Crystal Lake Central High School,Crystal Lake,IL,3.9,2025,Physics,History,630.0,610.0,28,27,27,28,28,720.0,720.0,720.0,710.0,710.0,710.0,720.0,710.0,720.0,6
40_KS_80,40_KS_80!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,History,630.0,630.0,27,27,29,27,28,710.0,720.0,710.0,730.0,720.0,720.0,730.0,710.0,710.0,5
40_KS_81,40_KS_81!,KS,Lawrence Free State High School,Lawrence,KS,3.9,2024,Physics,English,630.0,620.0,29,27,29,28,28,710.0,720.0,720.0,710.0,720.0,710.0,710.0,710.0,710.0,5
40_KS_82,40_KS_82!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Philosophy,610.0,620.0,27,28,29,28,28,720.0,710.0,710.0,710.0,720.0,730.0,720.0,720.0,730.0,5
40_KS_83,40_KS_83!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Philosophy,630.0,610.0,28,27,28,27,28,710.0,730.0,730.0,730.0,730.0,730.0,720.0,730.0,710.0,6
40_KS_84,40_KS_84!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,English,620.0,630.0,28,27,28,27,28,710.0,710.0,710.0,720.0,710.0,720.0,720.0,720.0,710.0,7
40_KS_85,40_KS_85!,KS,Lawrence Free State High School,Lawrence,KS,3.8,2024,Physics,History,610.0,620.0,27,28,28,29,28,730.0,710.0,720.0,730.0,720.0,720.0,720.0,710.0,730.0,7
40_KS_86,40_KS_86!,KS,Lawrence Free State High School,Lawrence,KS,3.8,2024,Physics,English,620.0,630.0,29,29,28,27,28,710.0,710.0,710.0,710.0,730.0,730.0,710.0,730.0,710.0,7
40_KS_87,40_KS_87!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,Philosophy,610.0,630.0,29,27,27,29,28,730.0,730.0,730.0,710.0,730.0,730.0,710.0,730.0,720.0,6
40_KS_88,40_KS_88!,KS,Lawrence Free State High School,Lawrence,KS,3.8,2024,Physics,History,630.0,630.0,28,27,28,28,28,720.0,730.0,710.0,710.0,720.0,730.0,720.0,730.0,730.0,7
40_KS_89,40_KS_89!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,History,620.0,620.0,27,27,28,28,28,710.0,730.0,720.0,720.0,710.0,730.0,720.0,720.0,720.0,7
40_KS_90,40_KS_90!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Psychology,620.0,610.0,28,29,29,28,28,720.0,710.0,730.0,710.0,730.0,730.0,720.0,710.0,730.0,5
40_KS_91,40_KS_91!,KS,Lawrence Free State High School,Lawrence,KS,3.9,2024,Physics,Psychology,630.0,630.0,28,29,28,29,28,720.0,710.0,720.0,710.0,730.0,730.0,720.0,710.0,710.0,5
40_KS_92,40_KS_92!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,Psychology,610.0,620.0,29,28,29,28,28,720.0,710.0,720.0,720.0,730.0,710.0,710.0,730.0,730.0,6
40_KS_93,40_KS_93!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,History,630.0,610.0,27,29,28,27,28,720.0,730.0,730.0,710.0,730.0,730.0,730.0,710.0,730.0,7
40_KS_94,40_KS_94!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,History,630.0,630.0,27,29,27,27,28,710.0,730.0,730.0,730.0,720.0,720.0,730.0,730.0,720.0,6
40_KS_95,40_KS_95!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,Philosophy,610.0,630.0,29,27,27,27,28,720.0,710.0,720.0,730.0,710.0,720.0,720.0,730.0,730.0,6
40_KS_96,40_KS_96!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,Psychology,620.0,620.0,29,29,28,28,28,730.0,720.0,730.0,730.0,720.0,730.0,720.0,720.0,710.0,7
40_KS_97,40_KS_97!,KS,Lawrence Free State High School,Lawrence,KS,3.9,2024,Physics,Philosophy,620.0,630.0,28,29,28,29,28,720.0,720.0,720.0,710.0,720.0,710.0,730.0,730.0,730.0,5
40_KS_98,40_KS_98!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Psychology,630.0,630.0,27,28,28,27,28,730.0,710.0,720.0,730.0,720.0,720.0,710.0,730.0,730.0,5
40_KS_99,40_KS_99!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Psychology,630.0,620.0,28,27,28,29,28,730.0,720.0,710.0,720.0,730.0,710.0,720.0,730.0,720.0,5
40_KS_100,40_KS_100!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,History,630.0,620.0,28,28,28,27,28,720.0,720.0,710.0,730.0,720.0,730.0,710.0,710.0,710.0,6
40_KS_101,40_KS_101!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,History,620.0,610.0,27,28,28,29,28,710.0,720.0,730.0,720.0,720.0,710.0,710.0,710.0,720.0,5
40_KS_102,40_KS_102!,KS,Lawrence Free State High School,Lawrence,KS,3.8,2025,Physics,Philosophy,630.0,620.0,28,28,27,29,28,720.0,730.0,730.0,720.0,730.0,720.0,710.0,720.0,710.0,6
40_KS_103,40_KS_103!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,Psychology,610.0,620.0,29,29,27,27,28,730.0,710.0,730.0,710.0,720.0,710.0,710.0,710.0,710.0,7
40_KS_104,40_KS_104!,KS,Lawrence Free State High School,Lawrence,KS,3.8,2024,Physics,Philosophy,610.0,630.0,29,29,28,27,28,720.0,710.0,720.0,720.0,730.0,720.0,710.0,720.0,710.0,7
40_KS_105,40_KS_105!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,English,620.0,630.0,29,28,29,29,29,730.0,720.0,710.0,720.0,720.0,730.0,710.0,710.0,710.0,6
40_KS_106,40_KS_106!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,Philosophy,630.0,620.0,29,28,27,28,28,720.0,720.0,720.0,730.0,720.0,730.0,730.0,710.0,710.0,6
40_KS_107,40_KS_107!,KS,Lawrence Free State High School,Lawrence,KS,3.8,2025,Physics,English,620.0,630.0,29,29,28,29,29,720.0,730.0,720.0,730.0,720.0,730.0,720.0,720.0,730.0,7
40_KS_108,40_KS_108!,KS,Lawrence Free State High School,Lawrence,KS,3.9,2024,Physics,English,610.0,630.0,29,28,29,29,29,730.0,710.0,730.0,720.0,730.0,710.0,710.0,730.0,710.0,6
40_KS_109,40_KS_109!,KS,Lawrence Free State High School,Lawrence,KS,3.8,2024,Physics,Psychology,630.0,620.0,29,27,29,29,28,720.0,720.0,710.0,730.0,720.0,730.0,730.0,730.0,730.0,5
40_KS_110,40_KS_110!,KS,Lawrence Free State High School,Lawrence,KS,3.9,2025,Physics,Philosophy,620.0,620.0,28,29,28,27,28,730.0,720.0,710.0,730.0,720.0,710.0,720.0,730.0,720.0,7
40_KS_111,40_KS_111!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Psychology,620.0,630.0,29,29,29,28,29,730.0,720.0,720.0,720.0,730.0,710.0,730.0,720.0,710.0,6
40_KS_112,40_KS_112!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,History,620.0,630.0,27,29,27,28,28,730.0,730.0,710.0,730.0,720.0,710.0,730.0,710.0,710.0,7
40_KS_113,40_KS_113!,KS,Lawrence Free State High School,Lawrence,KS,3.8,2025,Physics,English,630.0,620.0,27,28,29,28,28,720.0,720.0,730.0,730.0,730.0,730.0,710.0,710.0,720.0,5
40_KS_114,40_KS_114!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,Philosophy,630.0,630.0,29,29,28,29,29,720.0,710.0,720.0,730.0,720.0,720.0,730.0,710.0,710.0,5
40_KS_115,40_KS_115!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Psychology,610.0,620.0,29,27,29,27,28,710.0,730.0,710.0,720.0,720.0,710.0,730.0,710.0,710.0,6
40_KS_116,40_KS_116!,KS,Lawrence Free State High School,Lawrence,KS,3.9,2024,Physics,History,610.0,610.0,27,29,29,27,28,730.0,730.0,730.0,730.0,730.0,710.0,730.0,720.0,720.0,6
40_KS_117,40_KS_117!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Psychology,610.0,630.0,28,29,28,27,28,730.0,730.0,710.0,730.0,720.0,730.0,720.0,730.0,710.0,6
40_KS_118,40_KS_118!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2024,Physics,Psychology,620.0,620.0,27,28,27,28,28,710.0,730.0,710.0,720.0,730.0,720.0,710.0,730.0,730.0,7
40_KS_119,40_KS_119!,KS,Lawrence Free State High School,Lawrence,KS,4.0,2025,Physics,Psychology,610.0,620.0,28,27,27,27,27,710.0,710.0,710.0,720.0,710.0,730.0,720.0,720.0,720.0,6
40_NC_120,40_NC_120!,NC,Providence High School,Charlotte,NC,4.0,2025,Physics,English,630.0,610.0,28,29,29,28,28,720.0,720.0,730.0,720.0,730.0,720.0,720.0,710.0,710.0,7
40_NC_121,40_NC_121!,NC,Providence High School,Charlotte,NC,4.0,2024,Physics,History,610.0,630.0,28,28,29,29,28,720.0,710.0,710.0,730.0,730.0,710.0,710.0,710.0,720.0,6
40_NC_122,40_NC_122!,NC,Providence High School,Charlotte,NC,4.0,2024,Physics,Psychology,610.0,610.0,28,28,28,29,28,710.0,710.0,730.0,730.0,730.0,730.0,710.0,710.0,730.0,7
40_NC_123,40_NC_123!,NC,Providence High School,Charlotte,NC,4.0,2025,Physics,English,620.0,630.0,28,27,29,29,28,730.0,730.0,720.0,710.0,720.0,720.0,710.0,730.0,720.0,6
40_NC_124,40_NC_124!,NC,Providence High School,Charlotte,NC,3.9,2024,Physics,English,620.0,610.0,27,29,27,27,28,730.0,730.0,730.0,710.0,730.0,720.0,710.0,730.0,710.0,6
40_NC_125,40_NC_125!,NC,Providence High School,Charlotte,NC,3.9,2025,Physics,History,630.0,630.0,27,27,28,28,28,710.0,720.0,710.0,720.0,730.0,720.0,720.0,730.0,710.0,5
40_NC_126,40_NC_126!,NC,Providence High School,Charlotte,NC,3.8,2024,Physics,Psychology,620.0,630.0,28,29,28,27,28,710.0,720.0,710.0,730.0,720.0,720.0,730.0,720.0,730.0,5
